"","X","Old_id","id","rownames","Geography","Metro","HabitatSuitability","GDP_capita","mosquito.abundance","MF","R0","R0_round","MetroR0","metro_round"
"84",84,84,84,167,"Galveston County, Texas",2,0.022072341,46917,0.429717386,0.141983401,0.784836612,0.8,0.810191659406406,0.8
"85",85,85,85,169,"Garza County, Texas",NA,0.00100684,69782,0.077690395,0.124384572,0.124306145,0.1,0.124306145,0.1
"86",86,86,86,171,"Gillespie County, Texas",NA,0.000938924,51224,0.319399033,0.137886948,0.566520341,0.6,0.566520341,0.6
"87",87,87,87,173,"Glasscock County, Texas",NA,0.000966597,65970,0.032853747,0.126735659,0.053560237,0.1,0.053560237,0.1
"88",88,88,88,175,"Goliad County, Texas",NA,0.001403226,40243,0.844722572,0.149434499,1.623767047,1.6,1.623767047,1.6
"89",89,89,89,177,"Gonzales County, Texas",NA,0.00128916,41629,0.485041737,0.147757316,0.92190646,0.9,0.92190646,0.9
"90",90,90,90,179,"Gray County, Texas",NA,0.000806899,47461,0.089316883,0.141438842,0.162502858,0.2,0.162502858,0.2
"91",91,91,91,181,"Grayson County, Texas",NA,0.001869312,37034,0.123531858,0.15363168,0.244128513,0.2,0.244128513,0.2
"92",92,92,92,183,"Gregg County, Texas",NA,0.001958094,49913,0.231934278,0.139083762,0.414954158,0.4,0.414954158,0.4
"93",93,93,93,185,"Grimes County, Texas",NA,0.001259409,34996,0.264536417,0.156557851,0.532744619,0.5,0.532744619,0.5
"94",94,94,94,187,"Guadalupe County, Texas",3,0.003679282,38439,0.683651935,0.151736581,1.334394042,1.3,1.01306410485482,1
"95",95,95,95,189,"Hale County, Texas",NA,0.001279643,31143,0.052976861,0.162764931,0.110918966,0.1,0.110918966,0.1
"96",96,96,96,191,"Hall County, Texas",NA,0.000707109,36054,0.096680671,0.155011232,0.192779823,0.2,0.192779823,0.2
"97",97,97,97,193,"Hamilton County, Texas",NA,0.000592627,50220,0.446069236,0.138799771,0.796433972,0.8,0.796433972,0.8
"98",98,98,98,195,"Hansford County, Texas",NA,0.000496353,75035,0.011893181,0.121411463,0.018574472,0,0.018574472,0
"99",99,99,99,197,"Hardeman County, Texas",NA,0.000496586,37222,0.07575937,0.15337259,0.149466154,0.1,0.149466154,0.1
"100",100,100,100,199,"Hardin County, Texas",10,0.002555826,43262,0.40719045,0.145874301,0.764073481,0.8,0.518613421595532,0.5
"101",101,101,101,201,"Harris County, Texas",2,0.173769426,56896,0.414463692,0.133143635,0.709848475,0.7,0.810191659406406,0.8
"102",102,102,102,203,"Harrison County, Texas",NA,0.00161345,43297,0.167267836,0.145834984,0.313785528,0.3,0.313785528,0.3
"103",103,103,103,205,"Hartley County, Texas",NA,0.000942886,53573,0.027565058,0.135841457,0.048167044,0,0.048167044,0
"104",104,104,104,207,"Haskell County, Texas",NA,0.00090125,36268,0.0535898,0.154705749,0.10664668,0.1,0.10664668,0.1
"105",105,105,105,209,"Hays County, Texas",4,0.002383271,34959,0.479470553,0.156613064,0.965936729,1,0.875387976895515,0.9
"106",106,106,106,211,"Hemphill County, Texas",NA,0.000468366,74072,0.044733824,0.12193535,0.070165627,0.1,0.070165627,0.1
"107",107,107,107,213,"Henderson County, Texas",NA,0.00144659,35086,0.329504437,0.156423873,0.663014543,0.7,0.663014543,0.7
"108",108,108,108,215,"Hidalgo County, Texas",6,0.049682195,23753,0.413571862,0.17814549,0.947729867,0.9,0.950116854795219,1
"109",109,109,109,217,"Hill County, Texas",NA,0.001075573,36121,0.372233882,0.154915331,0.741769639,0.7,0.741769639,0.7
"110",110,110,110,219,"Hockley County, Texas",NA,0.001015697,42167,0.064058277,0.147126223,0.121233904,0.1,0.121233904,0.1
"111",111,111,111,221,"Hood County, Texas",1,0.000645388,44056,0.313696961,0.144992643,0.585079701,0.6,0.484432655865983,0.5
"112",112,112,112,223,"Hopkins County, Texas",NA,0.000515645,36572,0.248727388,0.154275898,0.493606018,0.5,0.493606018,0.5
"113",113,113,113,225,"Houston County, Texas",NA,0.001266215,34720,0.332567557,0.156971599,0.67152118,0.7,0.67152118,0.7
"114",114,114,114,227,"Howard County, Texas",NA,0.001861673,36313,0.065978407,0.154641817,0.131246437,0.1,0.131246437,0.1
"115",115,115,115,229,"Hudspeth County, Texas",5,0.009245512,27317,0.008227088,0.170034345,0.017994573,0,0.242095565807525,0.2
"116",116,116,116,231,"Hunt County, Texas",1,0.000783406,33312,0.249037638,0.159152727,0.509844603,0.5,0.484432655865983,0.5
"117",117,117,117,233,"Hutchinson County, Texas",NA,0.000960736,40463,0.022862119,0.149163178,0.043866892,0,0.043866892,0
"118",118,118,118,235,"Irion County, Texas",NA,0.000925535,60959,0.243426011,0.1301173,0.407437293,0.4,0.407437293,0.4
"119",119,119,119,237,"Jack County, Texas",NA,0.000454871,47543,0.189423726,0.14135748,0.344438684,0.3,0.344438684,0.3
"120",120,120,120,239,"Jackson County, Texas",NA,0.002880725,40467,0.33865937,0.149158263,0.64978423,0.6,0.64978423,0.6
"121",121,121,121,241,"Jasper County, Texas",NA,0.00125416,37747,0.298925589,0.152658213,0.587005297,0.6,0.587005297,0.6
"122",122,122,122,243,"Jeff Davis County, Texas",NA,0.002655427,34495,0.022060642,0.157312151,0.04464154,0,0.04464154,0
"123",123,123,123,245,"Jefferson County, Texas",10,0.016791945,39532,0.21827281,0.150325062,0.422075151,0.4,0.518613421595532,0.5
"124",124,124,124,247,"Jim Hogg County, Texas",NA,0.001865556,33296,0.413906466,0.159178216,0.847509543,0.8,0.847509543,0.8
"125",125,125,125,249,"Jim Wells County, Texas",NA,0.002394836,42782,0.535279931,0.146417828,1.008169776,1,1.008169776,1
"126",126,126,126,251,"Johnson County, Texas",1,0.001445195,38016,0.301814583,0.152297292,0.591277229,0.6,0.484432655865983,0.5
"127",127,127,127,253,"Jones County, Texas",NA,0.001282782,28720,0.068373714,0.167219213,0.147073389,0.1,0.147073389,0.1
"128",128,128,128,255,"Karnes County, Texas",NA,0.000974307,40545,0.547485541,0.149062552,1.049784025,1,1.049784025,1
"129",129,129,129,257,"Kaufman County, Texas",1,0.000958761,37348,0.119889877,0.153199919,0.236265226,0.2,0.484432655865983,0.5
"130",130,130,130,259,"Kendall County, Texas",3,0.000774112,65960,0.434612677,0.126742063,0.708568619,0.7,1.01306410485482,1
"131",131,131,131,261,"Kenedy County, Texas",NA,0.005077252,56300,0.25533931,0.133611813,0.438855241,0.4,0.438855241,0.4
"132",132,132,132,263,"Kent County, Texas",NA,0.000771575,44827,0.090824013,0.144156566,0.16842008,0.2,0.16842008,0.2
"133",133,133,133,265,"Kerr County, Texas",NA,0.001398377,44059,0.322790213,0.144989352,0.602025962,0.6,0.602025962,0.6
"134",134,134,134,267,"Kimble County, Texas",NA,0.000937392,41000,0.244631919,0.148509089,0.467331344,0.5,0.467331344,0.5
"135",135,135,135,269,"King County, Texas",NA,0.000644249,63985,0.085476435,0.128032904,0.140775393,0.1,0.140775393,0.1
"136",136,136,136,271,"Kinney County, Texas",NA,0.001886005,30314,0.211389293,0.164235324,0.446589298,0.4,0.446589298,0.4
"137",137,137,137,273,"Kleberg County, Texas",NA,0.004344779,34148,0.448172576,0.157843207,0.909975978,0.9,0.909975978,0.9
"138",138,138,138,275,"Knox County, Texas",NA,0.000615781,39229,0.069063432,0.150711101,0.133891236,0.1,0.133891236,0.1
"139",139,139,142,277,"La Salle County, Texas",NA,0.002216043,45591,0.167139381,0.143346782,0.30819493,0.3,0.30819493,0.3
"140",140,140,139,279,"Lamar County, Texas",NA,0.000779052,37540,0.055468093,0.15293829,0.109123483,0.1,0.109123483,0.1
"141",141,141,140,281,"Lamb County, Texas",NA,0.000803144,36248,0.36020547,0.154734196,0.716960717,0.7,0.716960717,0.7
"142",142,142,141,283,"Lampasas County, Texas",9,0.000710502,46618,0.603148105,0.142286307,1.103940913,1.1,0.956456935874137,1
"143",143,143,143,285,"Lavaca County, Texas",NA,0.00156541,43525,0.437537959,0.145579892,0.819362123,0.8,0.819362123,0.8
"144",144,144,144,287,"Lee County, Texas",NA,0.00084271,43241,0.425706502,0.145897912,0.798947265,0.8,0.798947265,0.8
"145",145,145,145,289,"Leon County, Texas",NA,0.001059075,40093,0.330898664,0.149620627,0.636861853,0.6,0.636861853,0.6
"146",146,146,146,291,"Liberty County, Texas",2,0.00360846,34839,0.396899166,0.156792672,0.8005062,0.8,0.810191659406406,0.8
"147",147,147,147,293,"Limestone County, Texas",NA,0.001081692,33551,0.303538325,0.158773919,0.619942558,0.6,0.619942558,0.6
"148",148,148,148,295,"Lipscomb County, Texas",NA,0.000352248,46304,0.032340055,0.14260721,0.059325443,0.1,0.059325443,0.1
"149",149,149,149,297,"Live Oak County, Texas",NA,0.001638881,44484,0.501228514,0.144526131,0.931839035,0.9,0.931839035,0.9
"150",150,150,150,299,"Llano County, Texas",NA,0.000734743,39508,0.266868773,0.150355495,0.516149864,0.5,0.516149864,0.5
"151",151,151,151,301,"Loving County, Texas",NA,0.000983259,33453,0.055136861,0.15892881,0.112720634,0.1,0.112720634,0.1
"152",152,152,152,303,"Lubbock County, Texas",11,0.004035226,37644,0.06345346,0.152797318,0.124718188,0.1,0.156538936847987,0.2
"153",153,153,153,305,"Lynn County, Texas",11,0.001027511,31026,0.077520347,0.162969272,0.162510036,0.2,0.156538936847987,0.2
"154",154,154,154,307,"Madison County, Texas",NA,0.000695898,42574,0.311051475,0.146655887,0.586800561,0.6,0.586800561,0.6
"155",155,155,161,309,"Marion County, Texas",NA,0.00471899,34591,0.458015221,0.157166488,0.925973616,0.9,0.925973616,0.9
"156",156,156,162,311,"Martin County, Texas",NA,0.006517967,49193,0.572006811,0.139759032,1.028347361,1,1.028347361,1
"157",157,157,157,313,"Mason County, Texas",NA,0.000607357,39689,0.305666901,0.150126584,0.590289107,0.6,0.590289107,0.6
"158",158,158,158,315,"Matagorda County, Texas",NA,0.000339442,37324,0.25984956,0.153232749,0.51219146,0.5,0.51219146,0.5
"159",159,159,159,317,"Maverick County, Texas",NA,0.001314046,25490,0.028599794,0.17400339,0.064014649,0.1,0.064014649,0.1
"160",160,160,160,319,"McCulloch County, Texas",NA,0.000542924,42574,0.208125602,0.146655887,0.392630255,0.4,0.392630255,0.4
"161",161,161,155,321,"McLennan County, Texas",14,0.00600132,35467,0.386585835,0.155861733,0.775075827,0.8,0.980772878725187,1
"162",162,162,156,323,"McMullen County, Texas",NA,0.001299656,71176,0.222517349,0.123567178,0.353692425,0.4,0.353692425,0.4
"163",163,163,163,325,"Medina County, Texas",3,0.002157167,35478,0.445740854,0.155845623,0.893584866,0.9,1.01306410485482,1
"164",164,164,164,327,"Menard County, Texas",NA,0.000556515,33538,0.209273057,0.158794431,0.427471671,0.4,0.427471671,0.4
"165",165,165,165,329,"Midland County, Texas",NA,0.003001745,96463,0.042232273,0.111659085,0.060659283,0.1,0.060659283,0.1
"166",166,166,166,331,"Milam County, Texas",NA,0.001615779,37276,0.367581915,0.153298493,0.724854393,0.7,0.724854393,0.7
"167",167,167,167,333,"Mills County, Texas",NA,0.000571767,35472,0.299217384,0.15585441,0.599880397,0.6,0.599880397,0.6
"168",168,168,168,335,"Mitchell County, Texas",NA,0.001093447,31964,0.051410933,0.16135928,0.106710753,0.1,0.106710753,0.1
"169",169,169,169,337,"Montague County, Texas",NA,0.000576845,49513,0.159341572,0.139457296,0.285844007,0.3,0.285844007,0.3
"170",170,170,170,339,"Montgomery County, Texas",2,0.016685619,55849,0.27028816,0.133970503,0.46579515,0.5,0.810191659406406,0.8
"171",171,171,171,341,"Moore County, Texas",NA,0.000833414,37604,0.021267829,0.152851477,0.041816873,0,0.041816873,0
"172",172,172,172,343,"Morris County, Texas",NA,0.000248026,37831,0.653174115,0.152545141,1.281699158,1.3,1.281699158,1.3
"173",173,173,173,345,"Motley County, Texas",NA,0.00081985,36247,0.061953178,0.154735619,0.123314072,0.1,0.123314072,0.1
"174",174,174,174,347,"Nacogdoches County, Texas",NA,0.00143535,32337,0.337896234,0.160736465,0.698644937,0.7,0.698644937,0.7
"175",175,175,175,349,"Navarro County, Texas",NA,0.001490879,35276,0.312153443,0.156142529,0.626971922,0.6,0.626971922,0.6
"176",176,176,176,351,"Newton County, Texas",10,0.001032979,28802,0.236517328,0.16706037,0.508270795,0.5,0.518613421595532,0.5
"177",177,177,177,353,"Nolan County, Texas",NA,0.00113916,36501,0.050189262,0.154375863,0.099666444,0.1,0.099666444,0.1
"178",178,178,178,355,"Nueces County, Texas",7,0.022800754,42439,0.366877803,0.146811229,0.692850386,0.7,0.769282374100747,0.8
"179",179,179,179,357,"Ochiltree County, Texas",NA,0.000472357,60573,0.022229675,0.130393105,0.03728606,0,0.03728606,0
"180",180,180,180,359,"Oldham County, Texas",NA,0.001220847,50645,0.049964253,0.138410423,0.088958397,0.1,0.088958397,0.1
"181",181,181,181,361,"Orange County, Texas",10,0.003622514,39933,0.176726017,0.149820189,0.34058819,0.3,0.518613421595532,0.5
"182",182,182,182,363,"Palo Pinto County, Texas",NA,0.000799232,36560,0.211965995,0.154292775,0.420698089,0.4,0.420698089,0.4
"183",183,183,183,365,"Panola County, Texas",NA,0.001169121,44173,0.26489943,0.144864517,0.493630288,0.5,0.493630288,0.5
"184",184,184,184,367,"Parker County, Texas",1,0.001028122,48118,0.323513857,0.140792158,0.585908914,0.6,0.484432655865983,0.5
"185",185,185,185,369,"Parmer County, Texas",NA,0.000558014,46800,0.032733093,0.142101622,0.059833559,0.1,0.059833559,0.1
"186",186,186,186,371,"Pecos County, Texas",NA,0.006119538,32710,0.040962947,0.160123155,0.084373116,0.1,0.084373116,0.1
"187",187,187,187,373,"Polk County, Texas",NA,0.001443206,36102,0.318408585,0.154942503,0.634620488,0.6,0.634620488,0.6
"188",188,188,188,375,"Potter County, Texas",13,0.001813962,40706,0.061483963,0.148865769,0.117737674,0.1,0.142116543253443,0.1
"189",189,189,189,377,"Presidio County, Texas",NA,0.006859993,32614,0.006735684,0.16028011,0.013887373,0,0.013887373,0
"190",190,190,190,379,"Rains County, Texas",NA,0.000151727,31775,0.34785982,0.161678573,0.723461607,0.7,0.723461607,0.7
"191",191,191,191,381,"Randall County, Texas",13,0.001563214,41938,0.074980426,0.147393528,0.142162507,0.1,0.142116543253443,0.1
"192",192,192,192,383,"Reagan County, Texas",NA,0.001247205,59221,0.139708934,0.131377928,0.236105085,0.2,0.236105085,0.2
"193",193,193,193,385,"Real County, Texas",NA,0.000509502,27896,0.211386146,0.168849719,0.459129942,0.5,0.459129942,0.5
"194",194,194,194,387,"Red River County, Texas",NA,0.000551217,35219,0.178039339,0.15622672,0.357791518,0.4,0.357791518,0.4
"195",195,195,195,389,"Reeves County, Texas",NA,0.00316664,27247,0.028016982,0.170179832,0.061332151,0.1,0.061332151,0.1
"196",196,196,196,391,"Refugio County, Texas",NA,0.002433473,45306,0.479149145,0.143646731,0.885370847,0.9,0.885370847,0.9
"197",197,197,197,393,"Roberts County, Texas",NA,0.000626112,45578,0.049913945,0.143360409,0.092047052,0.1,0.092047052,0.1
"198",198,198,198,395,"Robertson County, Texas",15,0.00125178,44251,0.293402911,0.14477935,0.546424037,0.5,0.533366537453247,0.5
"199",199,199,199,397,"Rockwall County, Texas",1,0.000640136,50460,0.081284569,0.138579367,0.144899015,0.1,0.484432655865983,0.5
"200",200,200,200,399,"Runnels County, Texas",NA,0.000980531,36152,0.17397374,0.154871039,0.346587315,0.3,0.346587315,0.3
"201",201,201,201,401,"Rusk County, Texas",NA,0.001111668,35633,0.288765652,0.155619324,0.578053202,0.6,0.578053202,0.6
"202",202,202,202,403,"Sabine County, Texas",NA,0.000369271,34318,0.235562861,0.157582141,0.477499115,0.5,0.477499115,0.5
