"county","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
"galveston",13.80783,14.62206,17.193605,20.439625,24.49311,27.56155,28.548735,28.975325,27.28999,23.29259,18.889495,14.61085
"garza",7.668775,9.67309,14.02644,18.690685,23.6401,27.89538,29.07839,29.079395,25.072825,19.26617,12.634685,7.36968
"gillespie",10.480195,12.32019,15.943725,20.173185,24.790155,27.54277,28.016525,28.51829,25.416335,20.551115,15.058505,10.24517
"glasscock",8.702185,10.838905,15.00524,19.808735,24.766015,28.463045,28.853555,28.946175,25.275105,19.870295,13.35945,8.308565
"goliad",14.18096,15.79637,18.524645,22.15378,26.213575,28.764155,29.03082,29.7404,27.763205,23.549185,18.84195,14.29075
"gonzales",12.977655,14.672235,17.847455,21.81041,26.35072,29.055185,29.47619,30.302475,27.810735,22.99767,17.9279,13.025435
"gray",4.694865,6.158635,11.048545,15.93206,21.047225,26.124905,28.21502,27.93338,23.179315,16.822345,10.22424,4.45085
"grayson",7.068265,8.66992,13.389,17.57106,23.20317,27.912915,30.261795,30.53868,25.591875,19.47041,13.38334,7.043475
"gregg",9.007265,10.659395,14.890505,18.70228,23.5261,27.28092,29.05045,29.404335,25.968495,20.418,14.800795,9.10654
"grimes",11.07166,12.73933,16.28003,19.882715,24.62675,27.897435,29.02595,29.5641,26.72774,21.56606,16.13195,11.092745
"guadalupe",12.66783,14.39786,17.59517,21.569345,26.098895,28.93182,29.433615,30.23751,27.61761,22.709155,17.49713,12.61114
"hale",5.436795,7.366205,11.766695,16.581845,21.8437,26.288315,27.401315,27.09784,23.038415,17.228255,10.495175,5.276175
"hall",6.8109,8.535085,13.255065,17.990995,23.214835,27.921715,29.94081,29.89467,25.16172,18.94887,12.36568,6.50862
"hamilton",9.48524,11.04477,15.171175,19.646505,24.847855,28.49439,29.937915,30.316035,26.31708,20.80525,14.782865,9.44155
"hansford",3.9663,5.19321,10.292145,15.24789,20.618755,26.087885,28.408535,27.826425,22.9125,16.184925,9.26738,3.554925
"hardeman",6.71572,8.46131,13.32858,18.022455,23.526615,28.59411,30.51479,30.54005,25.706775,19.26696,12.39137,6.342105
"hardin",11.521105,13.082295,16.57143,19.873955,24.22624,27.417405,28.45135,28.79603,26.335565,21.493975,16.45534,11.70286
"harris",12.242,13.68774,16.86329,20.28057,24.764675,27.8321,28.668945,29.050145,26.755625,22.045865,17.087765,12.433775
"harrison",8.896295,10.51507,14.854305,18.687905,23.513365,27.299975,29.07842,29.451795,26.01448,20.432665,14.78691,9.050835
"hartley",4.29757,5.913665,10.53813,15.278025,20.542955,25.751395,27.75513,26.986145,22.488715,16.16391,9.440495,4.13387
"haskell",7.82984,9.673885,14.445035,19.11785,24.36331,28.95863,30.455195,30.710615,26.14712,20.02457,13.311055,7.650755
"hays",11.587775,13.40275,16.950215,21.11915,25.72658,28.537535,29.15191,29.803385,26.989155,21.919575,16.58054,11.60345
"hemphill",4.031345,5.45222,10.77878,15.66616,20.97444,26.079655,28.49431,28.356785,23.21374,16.643645,9.94961,3.662285
"henderson",9.15323,10.790085,14.929045,18.623685,23.64517,27.56857,29.495645,30.023945,26.301645,20.498975,14.842965,9.195685
