,id,Geography,R0_round,importation_probability,importation.current,importation.projected,importation.worse.projected
184,184,"Parker County, Texas",0.6,0.001,0,0.001,0.005
185,185,"Parmer County, Texas",0.1,0,0,0,0
186,186,"Pecos County, Texas",0.1,0,0,0,0
187,187,"Polk County, Texas",0.6,0,0,0,0
188,188,"Potter County, Texas",0.1,0,0,0,0
189,189,"Presidio County, Texas",0,0,0,0,0
190,190,"Rains County, Texas",0.7,0,0,0,0
191,191,"Randall County, Texas",0.1,0,0,0,0
192,192,"Reagan County, Texas",0.2,0,0,0,0
193,193,"Real County, Texas",0.5,0,0,0,0
194,194,"Red River County, Texas",0.4,0,0,0,0
195,195,"Reeves County, Texas",0.1,0,0,0,0
196,196,"Refugio County, Texas",0.9,0.001,0,0.001,0.005
197,197,"Roberts County, Texas",0.1,0,0,0,0
198,198,"Robertson County, Texas",0.5,0,0,0,0
199,199,"Rockwall County, Texas",0.1,0.002,0.001,0.002,0.009
200,200,"Runnels County, Texas",0.3,0,0,0,0
201,201,"Rusk County, Texas",0.6,0,0,0,0
202,202,"Sabine County, Texas",0.5,0,0,0,0
203,203,"San Augustine County, Texas",0.8,0,0,0,0
204,204,"San Jacinto County, Texas",0.6,0.001,0,0.001,0.005
205,205,"San Patricio County, Texas",0.9,0.003,0.001,0.003,0.014
206,206,"San Saba County, Texas",0.7,0,0,0,0
207,207,"Schleicher County, Texas",0.5,0,0,0,0
208,208,"Scurry County, Texas",0.1,0,0,0,0
209,209,"Shackelford County, Texas",0.2,0,0,0,0
210,210,"Shelby County, Texas",0.7,0,0,0,0
211,211,"Sherman County, Texas",0,0,0,0,0
212,212,"Smith County, Texas",0.6,0.001,0,0.001,0.005
213,213,"Somervell County, Texas",0.7,0.001,0,0.001,0.005
214,214,"Starr County, Texas",1.9,0.001,0,0.001,0.005
215,215,"Stephens County, Texas",0.3,0,0,0,0
216,216,"Sterling County, Texas",0.1,0,0,0,0
217,217,"Stonewall County, Texas",0.2,0,0,0,0
218,218,"Sutton County, Texas",0.4,0,0,0,0
219,219,"Swisher County, Texas",0.2,0,0,0,0
220,220,"Tarrant County, Texas",0.7,0.058,0.017,0.058,0.261
221,221,"Taylor County, Texas",0.2,0.001,0,0.001,0.005
222,222,"Terrell County, Texas",0.2,0,0,0,0
223,223,"Terry County, Texas",0.1,0,0,0,0
224,224,"Throckmorton County, Texas",0.1,0,0,0,0
225,225,"Titus County, Texas",0.7,0,0,0,0
226,226,"Tom Green County, Texas",0.4,0.001,0,0.001,0.005
227,227,"Travis County, Texas",0.8,0.131,0.039,0.131,0.59
228,228,"Trinity County, Texas",0.6,0.001,0,0.001,0.005
229,229,"Tyler County, Texas",0.8,0.001,0,0.001,0.005
230,230,"Upshur County, Texas",0.8,0,0,0,0
231,231,"Upton County, Texas",0.1,0,0,0,0
232,232,"Uvalde County, Texas",0.5,0,0,0,0
233,233,"Val Verde County, Texas",0.4,0,0,0,0
234,234,"Van Zandt County, Texas",0.4,0,0,0,0
235,235,"Victoria County, Texas",0.6,0.003,0.001,0.003,0.014
236,236,"Walker County, Texas",0.7,0.001,0,0.001,0.005
237,237,"Waller County, Texas",0.8,0.001,0,0.001,0.005
238,238,"Ward County, Texas",0,0,0,0,0
239,239,"Washington County, Texas",0.4,0.001,0,0.001,0.005
240,240,"Webb County, Texas",1,0.011,0.003,0.011,0.05
241,241,"Wharton County, Texas",0.8,0.002,0.001,0.002,0.009
242,242,"Wheeler County, Texas",0.1,0,0,0,0
243,243,"Wichita County, Texas",0.1,0,0,0,0
244,244,"Wilbarger County, Texas",0.1,0,0,0,0
245,245,"Willacy County, Texas",0.5,0.008,0.002,0.008,0.036
246,246,"Williamson County, Texas",0.6,0.01,0.003,0.01,0.045
247,247,"Wilson County, Texas",1.1,0.002,0.001,0.002,0.009
248,248,"Winkler County, Texas",0.1,0,0,0,0
249,249,"Wise County, Texas",0.7,0,0,0,0
250,250,"Wood County, Texas",0.9,0,0,0,0
251,251,"Yoakum County, Texas",0,0,0,0,0
252,252,"Young County, Texas",0.2,0,0,0,0
253,253,"Zapata County, Texas",0.9,0.001,0,0.001,0.005
254,254,"Zavala County, Texas",0.8,0,0,0,0
