Geography,TotalDirectSpending(dollars),Percent; EDUCATIONAL ATTAINMENT - Population 25 years and over - Graduate or professional degree,Local(dollars),SEX_AND_AGE_Total_population_Male,COMMUTING_TO_WORK_Workers_16_years_and_over_Other_means_Percentage,maxtemp.warm.month,PERCENTAGE_OF_FAMILIES_AND_PEOPLE_WHOSE_INCOME_IN_THE_PAST_12_MONTHS_IS_BELOW_THE_POVERTY_LEVEL_All_people,precip.wet.quart,HEALTH_INSURANCE_COVERAGE_Civilian_noninstitutionalized_population_No_health_insurance_coverage,Estimate; EDUCATIONAL ATTAINMENT - Population 25 years and over - Graduate or professional degree,probability
Rains,7990,3.4,80,5629,2.4,349.4011,13.6,343.1323,2414,270,0.000801269431892
Randall,117580,9.7,1270,60105,0.8,328.9369,10.3,222.6122,18025,7680,0.0012438375272
Reagan,5920,2.3,20,1824,1.3,344.6957,9.5,177.537,969,50,0.000228638187836
Real,5900,6.4,60,1715,8.8,335.3867,20.2,239.0933,884,159,0.00140757086377
Red River,4940,3.6,40,6084,1.1,343.3032,16.1,365.1478,2606,334,0.00090414779895
Reeves,84090,2.1,2520,7845,2.3,360.2474,21.9,139.3276,2869,189,0.000683713112155
Refugio,25420,3.7,200,3633,1.5,339.706,16.2,333.3986,1443,185,0.000767258501218
Roberts,1190,7.1,0,510,0,343.1019,3,224.4122,171,51,0.000475813599669
Robertson,23040,4.6,530,8244,1.9,356.2931,20.7,289.5167,3371,507,0.00166661437371
Rockwall,96000,11.4,2040,39870,1.1,349.8942,5.9,333.4808,12004,5920,0.00309322529233
Runnels,7040,3.8,60,5231,0.5,351.3903,21.9,215.3268,2307,264,0.0009951419895
Rusk,43090,3.7,540,28268,1,341.6825,17.8,336.576,10605,1352,0.00096652106459
Sabine,11570,4.9,30,5237,3.8,339.9418,25.8,365.6861,2532,384,0.00230095005549
San Augustine,7740,3.8,60,4204,1.3,341.6828,26.4,349.6406,2177,242,0.00174024936935
San Jacinto,12630,3.4,50,13232,0.5,344.9941,20.1,353.5252,5633,620,0.00114135595002
San Patricio,120110,4.1,2340,32479,4.5,346.08,17,312.0722,13877,1694,0.00110758644604
San Saba,3800,2.9,30,3275,2.8,349.8886,15.2,234.2717,1110,123,0.000555731920299
Schleicher,460,4.6,10,1640,1.4,346.2421,22.8,203.054,831,90,0.00108636390303
Scurry,41500,4,810,9045,1.4,347.0797,15.7,201.9866,3021,443,0.000610017816946
Shackelford,2200,6.3,40,1630,2,351.4856,16.1,230.5986,692,145,0.00127375780521
Shelby,33810,4.4,490,12602,1.6,342.0118,22.1,346.3158,6702,731,0.00150929413619
Sherman,6160,5.1,20,1567,2.2,335.3538,13.7,200.7216,776,94,0.000507878563629
Smith,370960,7.4,5660,102474,2.2,346.7895,16.7,328.9276,44573,10019,0.0027444049205
Somervell,15640,7.6,350,4199,0,359.5681,9.3,289.8272,1733,431,0.00153904583206
Starr,27820,2.2,430,29707,2.6,368.221,39.2,221.8198,24089,738,0.00352971658835
Stephens,6670,3.9,110,5012,2.5,355.0777,18.8,246.8014,2196,250,0.00104800107182
Sterling,2600,5.4,10,725,1.9,345.83,15.1,194.2065,323,47,0.000744093235941
Stonewall,960,6.1,10,698,1.6,360.6399,16.6,211.1129,258,61,0.00144710031111
Sutton,11660,4.9,420,2008,2.1,346.5958,7.3,205.3152,1047,125,0.000415901452138
Swisher,3850,5.5,30,4189,1.8,329.1661,23.1,218.784,1608,271,0.000973630443668
Tarrant,7201710,9.1,111420,906704,1.6,353.8921,15.2,295.7077,391216,106057,0.027380657901
Taylor,434260,7.9,7620,64661,2.8,346.6633,17.4,221.3875,23155,6400,0.00214883077258
Terrell,1090,5.2,0,419,2.9,347.0875,10,156.4953,117,36,0.000463085719781
Terry,14050,4.5,360,6830,1.5,336.2348,14,191.6622,3230,366,0.000447143390533
Throckmorton,3910,5.8,0,822,2.5,357.7125,13.7,236.95,362,69,0.00115395400258
Titus,57600,5.4,770,15984,1.3,346.1544,22,349.5088,8177,1038,0.00209756362653
Tom Green,282290,6.9,5090,55065,1.8,350.6341,16.2,201.7819,21732,4849,0.00151268130104
Travis,5268500,16.3,126820,536210,3.2,352.6644,17.4,275.7406,210222,111740,0.0960464555893
Trinity,10950,3.2,140,6840,0.6,347.757,16.1,323.1681,3290,330,0.00078387366774
Tyler,10690,4,140,11808,3.5,339.9219,17.4,376.8635,3573,617,0.00112611506038
Upshur,22860,3.9,170,19590,0.6,345.0715,15.8,343.0033,8188,1043,0.000936744530202
Upton,3100,4,70,1604,2.1,348.9383,17.1,159.8808,840,85,0.000597936540264
Uvalde,75810,3.7,1500,13018,1.4,351.2564,26.5,216.994,6328,605,0.00138895806139
Val Verde,53000,4,1050,24486,4,353.0812,22.1,179.2025,12744,1154,0.00108263143014
Van Zandt,52220,4.5,480,25855,0.7,351.5757,16.4,334.0888,12040,1643,0.0012732230166
Victoria,221810,4.9,3740,43038,0.7,344.8697,16.9,307.4966,19253,2776,0.00117995920495
Walker,106110,5.4,1340,40561,0.9,350.3875,26,327.3563,8408,2383,0.00323253770136
Waller,53150,5.2,620,22019,0.8,349.6331,20.4,315.4061,10971,1277,0.00173592225494
Ward,25000,3.7,710,5370,2,363.1646,20.4,127.5643,2042,252,0.000889294990868
Washington,101740,6.2,1100,16914,1.3,358.178,14.9,311.3901,5828,1392,0.00183802338509
Webb,597720,4.8,9720,124036,0.8,373.5133,31.4,198.3826,88344,6542,0.00394154468065
Wharton,34830,4.1,620,20182,1,344.6933,18.8,326.093,9574,1092,0.00112846458167
Wheeler,29260,4.2,550,2777,2.1,346.2311,14.3,231.792,1438,156,0.000624192605477
Wichita,227530,7,4170,67569,1.2,365.2815,15.6,257.8629,22613,5849,0.00269396880671
Wilbarger,26680,4.7,590,6715,1,363.5573,20.7,237.8314,2332,401,0.00165698030195
Willacy,26290,2,190,11886,1.9,340.9708,40,264.5616,6366,264,0.00220643793915
Williamson,550340,11.6,11210,217208,1.4,351.9347,7,279.8819,62524,32929,0.00578224622673
Wilson,39830,5.1,640,21791,0.6,357.0588,11.5,237.1344,6506,1487,0.000864046491638
Winkler,6030,2.4,90,3630,1.8,355.1274,12.8,137.7252,1846,106,0.000331962102928
Wise,62860,3.8,1060,30222,0.9,356.4308,10.8,293.3313,12045,1515,0.000746686023044
Wood,26890,5.4,240,20776,1.2,347.2958,14.6,335.8758,8193,1651,0.00126857941877
Yoakum,5100,4.4,70,3913,0.2,331.9474,11.7,195.1102,2001,212,0.000328763551015
Young,28020,5.1,440,9124,1.4,358.2516,16,260.6129,4412,639,0.00126043000573
Zapata,15200,2.6,110,7167,1.1,372.4427,34.7,209.5112,4949,200,0.00295790307566
Zavala,14730,2.3,340,5885,2.5,362.7667,35,197.7265,3046,159,0.00224138401676
